Amlwch,Anglesey,Wales
Beaumaris,Anglesey,Wales
Benllech,Anglesey,Wales
Holyhead,Anglesey,Wales
Llanfairpwllgwyngyll,Anglesey,Wales
Llangefni,Anglesey,Wales
Menai Bridge,Anglesey,Wales
Ammanford,Carmarthenshire,Wales
Burry Port,Carmarthenshire,Wales
Carmarthen,Carmarthenshire,Wales
Garnant,Carmarthenshire,Wales
Glanamman,Carmarthenshire,Wales
Kidwelly,Carmarthenshire,Wales
Laugharne,Carmarthenshire,Wales
Llandeilo,Carmarthenshire,Wales
Llandovery,Carmarthenshire,Wales
Llanelli,Carmarthenshire,Wales
Newcastle Emlyn,Carmarthenshire,Wales
St Clears,Carmarthenshire,Wales
Whitland,Carmarthenshire,Wales
Aberaeron,Ceredigion,Wales
Aberystwyth,Ceredigion,Wales
Cardigan,Ceredigion,Wales
Lampeter,Ceredigion,Wales
Llandysul,Ceredigion,Wales
New Quay,Ceredigion,Wales
Tregaron,Ceredigion,Wales
Abergele,Conwy,Wales
Colwyn Bay,Conwy,Wales
Conwy,Conwy,Wales
Deganwy,Conwy,Wales
Llandudno,Conwy,Wales
Llandudno Junction,Conwy,Wales
Llanfairfechan,Conwy,Wales
Llanrwst,Conwy,Wales
Old Colwyn,Conwy,Wales
Penmaenmawr,Conwy,Wales
Towyn,Conwy,Wales
Carrog,Denbighshire,Wales
Corwen,Denbighshire,Wales
Denbigh,Denbighshire,Wales
Gellifor,Denbighshire,Wales
Llangollen,Denbighshire,Wales
Prestatyn,Denbighshire,Wales
Rhuddlan,Denbighshire,Wales
Rhyl,Denbighshire,Wales
Ruthin,Denbighshire,Wales
St Asaph,Denbighshire,Wales
Bagallit,Flintshire,Wales
Broughton,Flintshire,Wales
Buckley,Flintshire,Wales
Caerwys,Flintshire,Wales
Connahs Quay,Flintshire,Wales
Ewole,Flintshire,Wales
Flint,Flintshire,Wales
Hawarden,Flintshire,Wales
Holywell,Flintshire,Wales
Mold,Flintshire,Wales
Queensferry,Flintshire,Wales
Saltney,Flintshire,Wales
Shotton,Flintshire,Wales
Abertillery,Gwent,Wales
Blaina,Gwent,Wales
Brynmawr,Gwent,Wales
Cwmbran,Gwent,Wales
Ebbw Vale,Gwent,Wales
Newport,Gwent,Wales
Tafarnaubach,Gwent,Wales
Tredegar,Gwent,Wales
Bala,Gwynedd,Wales
Bangor,Gwynedd,Wales
Barmouth,Gwynedd,Wales
Beaumaris,Gwynedd,Wales
Betws y Coed,Gwynedd,Wales
Blaenau Ffestiniog,Gwynedd,Wales
Caernarfon,Gwynedd,Wales
Conwy,Gwynedd,Wales
Criccieth,Gwynedd,Wales
Dolgellau,Gwynedd,Wales
Ffestiniog,Gwynedd,Wales
Harlech,Gwynedd,Wales
Holyhead,Gwynedd,Wales
Llanberis,Gwynedd,Wales
Llanfachreth,Gwynedd,Wales
Nefyn,Gwynedd,Wales
Porthmadog,Gwynedd,Wales
Pwllheli,Gwynedd,Wales
Tywyn,Gwynedd,Wales
Y Felinheli,Gwynedd,Wales
Aberdare,Mid Glamorgan,Wales
Bridgend,Mid Glamorgan,Wales
Caerphilly,Mid Glamorgan,Wales
Llantrisant,Mid Glamorgan,Wales
Maesteg,Mid Glamorgan,Wales
Merthyr Tydfil,Mid Glamorgan,Wales
Pontypridd,Mid Glamorgan,Wales
Porth,Mid Glamorgan,Wales
Porthcawl,Mid Glamorgan,Wales
Abergavenny,Monmouthshire,Wales
Caldicot,Monmouthshire,Wales
Chepstow,Monmouthshire,Wales
Monmouth,Monmouthshire,Wales
Usk,Monmouthshire,Wales
Fishguard,Pembrokeshire,Wales
Goodwick,Pembrokeshire,Wales
Hakin,Pembrokeshire,Wales
Haverfordwest,Pembrokeshire,Wales
Milford Haven,Pembrokeshire,Wales
Narberth,Pembrokeshire,Wales
Newport,Pembrokeshire,Wales
Neyland,Pembrokeshire,Wales
Pembroke,Pembrokeshire,Wales
Pembroke Dock,Pembrokeshire,Wales
St Davids,Pembrokeshire,Wales
Tenby,Pembrokeshire,Wales
Brecon,Powys,Wales
Builth Wells,Powys,Wales
Cefnllys,Powys,Wales
Crickhowell,Powys,Wales
Hay on Wye,Powys,Wales
Knighton,Powys,Wales
Llandrindod Wells,Powys,Wales
Llanfair Caereinion,Powys,Wales
Llanfyllin,Powys,Wales
Llangors,Powys,Wales
Llanidloes,Powys,Wales
Llanwrtyd Wells,Powys,Wales
Machynlleth,Powys,Wales
Montgomery,Powys,Wales
Newtown,Powys,Wales
Old Radnor,Powys,Wales
Presteigne,Powys,Wales
Rhayader,Powys,Wales
Talgarth,Powys,Wales
Welshpool,Powys,Wales
Barry,South Glamorgan,Wales
Cardiff,South Glamorgan,Wales
Cowbridge,South Glamorgan,Wales
Llantwit Major,South Glamorgan,Wales
Penarth,South Glamorgan,Wales
Gorseinon,West Glamorgan,Wales
Lliw Valey,West Glamorgan,Wales
Neath,West Glamorgan,Wales
Port Talbot,West Glamorgan,Wales
Swansea,West Glamorgan,Wales
Chirk,Wrexham,Wales
Overton on Dee,Wrexham,Wales
Rhosllannerchrugog,Wrexham,Wales
Rhosnesni,Wrexham,Wales
Wrexham,Wrexham,Wales
